card_id,title,price_primary,price_secondary,location,labels,comment,description,exchange,scrap_date
104309289,"Продажа Lada (ВАЗ) 2121 Нива Legend, 2023 г. в Бобруйске",39 521 р.,≈ 13 500 $,"Бобруйск, Могилевская обл.",VIN,Niva Legent Urban|Новый !!!!!!!|Год выпуска 2023|На гарантии|Возможна продажа по безналу|Цена не включает 20% ндс|Все вопросы по телефону !,"2023 г., механика, 1.7 л, бензин, 800 км | внедорожник 3 дв., подключаемый полный привод, зелёный",Возможен обмен,2023-05-26 19:17:43
103933657,"Продажа Geely Emgrand II, 2023 г. в Мозыре",54 744 р.,≈ 18 700 $,"Мозырь, Гомельская обл.",VIN,"Абсолютно новый автомобиль. Без залогов, лизинга, и других моментов. официальная гарантия. Приобретался у оф. диллера есть все подтверждающие документы.|Комплектация Standart.|Очень красивый цвет.|Из допов:|Ковры в салоне .|Полная антикоррозийная обработка кузова;|Есть вайбер, ватсап, телеграм!|Салонам просьба не беспокоить!!!","2023 г., механика, 1.5 л, бензин, 137 км | седан, передний привод, серебристый",Обмен не интересует,2023-05-26 19:17:43
104572570,"Продажа Buick Encore GX, 2023 г. в Минске",40 982 р.,≈ 13 999 $,Минск,аварийный|VIN,"все вопросы по телефону , без сборов .","2023 г., вариатор, 1.3 л, бензин, 100 км | внедорожник 5 дв., передний привод, серый",Обмен не интересует,2023-05-26 19:17:43
101225600,"Продажа BYD Dolphin I, 2023 г. в Могилеве",77 579 р.,≈ 26 500 $,Могилев,VIN,"BYD Dolphin EV 2023 Fashion Edition (предтоп). Абсолютно новый автомобиль 2023 г.в. Габариты 4125х1770х1570. Один из немногих электромобилей, способных принимать заряд напряжением 800 В, благодаря чему можно пополнить запас хода на 120 км за 5 минут. Есть  тепловой насос, функция отдачи электроэнергии|внешним потребителям, открытый андроид, позволяющий устанавливать любые приложения.|Изменения по сравнению с дорестайлинговой моделью 2021 г. - добавлены такие опции, как: подогрев передних сидений, складывание зеркал, электрорегулировка пассажирского сидения, раздельно складывающаяся спинка заднего дивана с подлокотником и подстаканниками, сенсорное освещение для пассажиров заднего ряда, передние парктроники, обзор 540, улучшенная в 1,5 раза четкость планшета, дополнительный режим езды ""комфорт"", увеличенный на 15 км запас хода, задний дворник, другой дизайн колёсных дисков. Переходник для зарядки на медленных городских станциях (до 7 кВт/ч) в подарок.","2023 г., автомат, электро, запас хода 420 км, 400 км | хэтчбек 5 дв., передний привод, серый",Обмен не интересует,2023-05-26 19:17:45
104673128,"Продажа JAC J7, 2023 г. в Могилеве",74 422 р.,≈ 25 422 $ c НДС,Могилев,VIN,"Рассрочка для юридических лиц в белорусских рублях на 24 месяца и для физических лиц на 12 месяцев.|JAC J7. Комплектация Luxury. Двигатель объемом 1.5 литра (149 л.с.) и автоматической коробкой передач.|Гарантия 5 лет или 150 000 км пробега.|На выбор из наличия серый металлик и черный металлик.|Комплектация автомобиля включает в себя:|- TMPS - система контроля давления в шинах|- Задние парктроники|- Светодиодная оптика|-Обивка сидений кожей|-Автоматическое складывание наружных зеркал|-Аудиосистема МР5 с Bluetooth|-Поддержка Apple CarPlay и Android Auto|-Рулевое колесо с отделкой искусственной кожей|-10 дюймовый экран|-Зеркала с электроприводом|-6 динамиков|-Мультифункциональное рулевое колесо|-Цифровая приборная панель|-TSC -трекшен-контроль|-Камера заднего вида|-Двухзонный климат-контроль|-Люк в крыше с электроприводом|-Бортовой компьютер|-Система Auto Hold|-Датчик дождя|-Система бесключевого доступа и запуска двигателя кнопкой|-Подогрев передних сидений|-НАС - система помощи при старте на подъеме|-Круиз-контроль|-7"" LCD панель приборов|-Датчик света|Дополнительно установлены:|-Ковры салона (зимние) и коврик в багажник|-Антикоррозийная обработка|-Передние и задние брызговики|-Металлическая защита двигателя|-Накладки на пороги|-Защитная сетка в передний бампер|Возможность оформить автомобиль в кредит или лизинг.|Ваш автомобиль в зачёт.","2023 г., вариатор, 1.5 л, бензин, 11 км | лифтбек, передний привод, серый",Возможен обмен,2023-05-26 19:17:46
104673120,"Продажа JAC J7, 2023 г. в Могилеве",74 422 р.,≈ 25 422 $ c НДС,Могилев,VIN,"Рассрочка для юридических лиц в белорусских рублях на 24 месяца и для физических лиц на 12 месяцев.|JAC J7. Комплектация Luxury. Двигатель объемом 1.5 литра (136 л.с.) и автоматической коробкой передач.|Гарантия 5 лет или 150 000 км пробега.|На выбор из наличия серый металлик и черный металлик.|Комплектация автомобиля включает в себя:|- TMPS - система контроля давления в шинах|- Задние парктроники|- Светодиодная оптика|-Обивка сидений кожей|-Автоматическое складывание наружных зеркал|-Аудиосистема МР5 с Bluetooth|-Поддержка Apple CarPlay и Android Auto|-Рулевое колесо с отделкой искусственной кожей|-10 дюймовый экран|-Зеркала с электроприводом|-6 динамиков|-Мультифункциональное рулевое колесо|-Цифровая приборная панель|-TSC -трекшен-контроль|-Камера заднего вида|-Двухзонный климат-контроль|-Люк в крыше с электроприводом|-Бортовой компьютер|-Система Auto Hold|-Датчик дождя|-Система бесключевого доступа и запуска двигателя кнопкой|-Подогрев передних сидений|-НАС - система помощи при старте на подъеме|-Круиз-контроль|-7"" LCD панель приборов|-Датчик света|Дополнительно установлены:|-Ковры салона (зимние) и коврик в багажник|-Антикоррозийная обработка|-Передние и задние брызговики|-Металлическая защита двигателя|-Накладки на пороги|-Защитная сетка в передний бампер|Возможность оформить автомобиль в кредит или лизинг.|Ваш автомобиль в зачёт.","2023 г., вариатор, 1.5 л, бензин, 11 км | лифтбек, передний привод, чёрный",Возможен обмен,2023-05-26 19:17:47
104621634,"Продажа Geely Coolray, 2023 г. в Минске",79 043 р.,≈ 27 000 $,Минск,VIN,"Комплектация - Flagship, пробег - 31 км. Оклейка антигравийной пленкой (капот целиком, крылья, полоса над лобовым стеклом, стойки лобового стекла, фары+птф, торцы дверей, антиманикюр). Обработка Антикор. Имеются коврики в салоне и багажнике.|Автосалонам не беспокоить.","2023 г., робот, 1.5 л, бензин, 31 км | внедорожник 5 дв., передний привод, белый",Обмен не интересует,2023-05-26 19:17:47
104667181,"Продажа Geely Emgrand II, 2023 г. в Гомеле",62 941 р.,≈ 21 500 $,Гомель,VIN,,"2023 г., автомат, 1.5 л, бензин, 80 км | седан, передний привод, белый",Обмен не интересует,2023-05-26 19:17:47
104408441,"Продажа JAC J7, 2023 г. в Минске",74 985 р.,≈ 25 614 $ c НДС,Минск,VIN,"Новый JAC J7 – самый элегантный лифтбек, над внешностью которого трудился Даниэль Гальоне – художник, приложивший руку к созданию дизайна для Alfa Romeo и Maserati.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | лифтбек, передний привод, серый",Возможен обмен,2023-05-26 19:17:48
104408545,"Продажа JAC J7, 2023 г. в Минске",72 801 р.,≈ 24 868 $ c НДС,Минск,VIN,"Новый JAC J7 – самый элегантный лифтбек, над внешностью которого трудился Даниэль Гальоне – художник, приложивший руку к созданию дизайна для Alfa Romeo и Maserati.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | лифтбек, передний привод, чёрный",Возможен обмен,2023-05-26 19:17:48
